"","BH105","BH106","BH101","BH103","count"
"462",4,2,2,6,1
"463",4,2,3,5,1
"464",4,2,4,3,1
"465",4,2,4,4,2
"466",4,2,4,7,1
"467",4,2,5,0,1
"468",4,2,5,5,1
"469",4,2,7,7,1
"470",4,3,0,0,8
"471",4,3,0,2,2
"472",4,3,0,7,1
"473",4,3,1,0,1
"474",4,3,1,1,1
"475",4,3,4,0,1
"476",4,4,0,0,5
"477",4,4,0,2,1
"478",4,4,0,3,1
"479",4,4,0,4,2
"480",4,4,0,7,3
"481",4,4,1,0,1
"482",4,4,1,5,1
"483",4,4,2,0,1
"484",4,4,3,1,1
"485",4,4,4,0,1
"486",4,4,5,3,2
"487",4,5,0,0,2
"488",4,5,0,3,1
"489",4,5,0,4,1
"490",5,0,0,0,196
"491",5,0,0,1,13
"492",5,0,0,2,25
"493",5,0,0,3,10
"494",5,0,0,4,6
"495",5,0,0,5,17
"496",5,0,0,6,4
"497",5,0,0,7,27
"498",5,0,1,0,8
"499",5,0,1,1,2
"500",5,0,1,2,6
"501",5,0,1,3,1
"502",5,0,1,7,4
"503",5,0,2,0,5
"504",5,0,2,2,3
"505",5,0,2,3,3
"506",5,0,2,4,2
"507",5,0,2,5,2
"508",5,0,2,7,4
"509",5,0,3,0,5
"510",5,0,3,2,2
"511",5,0,3,3,3
"512",5,0,3,5,1
"513",5,0,3,7,1
"514",5,0,4,0,3
"515",5,0,4,1,1
"516",5,0,4,2,1
"517",5,0,4,4,1
"518",5,0,4,5,4
"519",5,0,5,0,4
"520",5,0,5,1,1
"521",5,0,5,2,1
"522",5,0,5,5,2
"523",5,0,5,6,1
"524",5,0,6,2,1
"525",5,0,6,4,1
"526",5,0,6,7,2
"527",5,0,7,0,1
"528",5,0,7,7,2
"529",5,0,NA,NA,1
"530",5,1,0,0,116
"531",5,1,0,1,16
"532",5,1,0,2,7
"533",5,1,0,3,11
"534",5,1,0,4,7
"535",5,1,0,5,12
"536",5,1,0,6,4
"537",5,1,0,7,19
"538",5,1,1,0,7
"539",5,1,1,1,2
"540",5,1,1,2,2
"541",5,1,1,3,2
"542",5,1,1,4,1
"543",5,1,1,5,2
"544",5,1,1,7,1
"545",5,1,2,0,7
"546",5,1,2,1,3
"547",5,1,2,2,1
"548",5,1,2,3,2
"549",5,1,2,5,1
"550",5,1,2,7,2
"551",5,1,3,0,1
"552",5,1,3,1,2
"553",5,1,3,2,2
"554",5,1,3,3,1
"555",5,1,3,5,1
"556",5,1,3,7,3
"557",5,1,4,0,2
"558",5,1,4,2,1
"559",5,1,4,5,2
"560",5,1,4,7,1
"561",5,1,5,0,3
"562",5,1,5,2,2
"563",5,1,5,5,3
"564",5,1,6,0,1
"565",5,1,6,6,1
"566",5,1,6,7,2
"567",5,1,7,5,1
"568",5,1,7,7,2
"569",5,1,NA,7,1
"570",5,2,0,0,11
"571",5,2,0,1,2
"572",5,2,0,3,4
"573",5,2,0,5,5
"574",5,2,0,7,4
"575",5,2,1,0,1
"576",5,2,1,4,1
"577",5,2,1,7,1
"578",5,2,2,6,1
"579",5,2,3,0,1
"580",5,2,3,2,1
"581",5,2,3,5,1
"582",5,2,4,0,1
"583",5,2,4,5,1
"584",5,2,5,5,3
"585",5,2,5,7,1
"586",5,2,7,7,1
"587",5,3,0,0,6
"588",5,3,0,1,1
"589",5,3,0,3,1
"590",5,3,0,6,1
"591",5,3,0,7,3
"592",5,3,1,2,2
"593",5,3,2,3,1
"594",5,3,2,5,1
"595",5,3,2,7,1
"596",5,3,3,3,1
"597",5,3,4,4,1
"598",5,3,5,0,4
"599",5,3,5,6,1
"600",5,3,7,7,1
"601",5,4,0,0,6
"602",5,4,0,2,1
"603",5,4,0,3,1
"604",5,4,0,4,2
"605",5,4,0,5,1
"606",5,4,0,7,1
"607",5,4,1,7,1
"608",5,4,3,0,1
"609",5,4,5,3,1
"610",5,4,5,4,1
"611",5,4,5,5,1
"612",5,4,5,6,1
"613",5,4,6,6,1
"614",5,4,7,6,1
"615",5,5,0,0,8
"616",5,5,0,3,1
"617",5,5,0,4,1
"618",5,5,0,5,1
"619",5,5,0,7,4
"620",5,5,1,0,2
"621",5,5,1,1,1
"622",5,5,3,1,1
"623",5,5,4,0,1
"624",5,5,5,0,1
"625",5,5,5,2,1
"626",5,5,5,5,1
"627",5,5,7,0,1
"628",5,NA,0,0,2
"629",5,NA,6,7,1
"630",6,0,0,0,69
"631",6,0,0,1,4
"632",6,0,0,2,3
"633",6,0,0,3,5
"634",6,0,0,4,6
"635",6,0,0,5,7
"636",6,0,0,6,2
"637",6,0,0,7,10
"638",6,0,1,0,4
"639",6,0,1,1,3
"640",6,0,1,2,2
"641",6,0,2,0,1
"642",6,0,2,2,1
"643",6,0,2,3,1
"644",6,0,2,4,1
"645",6,0,3,0,1
"646",6,0,3,3,2
"647",6,0,3,4,1
"648",6,0,3,5,1
"649",6,0,4,4,2
"650",6,0,4,5,1
"651",6,0,4,6,1
"652",6,0,5,0,1
"653",6,0,5,1,1
"654",6,0,5,5,2
"655",6,0,6,6,3
"656",6,0,7,5,1
"657",6,0,7,7,1
"658",6,1,0,0,70
"659",6,1,0,1,2
"660",6,1,0,2,5
"661",6,1,0,3,6
"662",6,1,0,4,3
"663",6,1,0,5,5
"664",6,1,0,6,9
"665",6,1,0,7,6
"666",6,1,1,0,3
"667",6,1,1,1,2
"668",6,1,1,2,2
"669",6,1,1,3,1
"670",6,1,2,3,1
"671",6,1,2,5,2
"672",6,1,2,7,1
"673",6,1,3,0,3
"674",6,1,4,3,1
"675",6,1,4,4,1
"676",6,1,4,7,1
"677",6,1,5,0,2
"678",6,1,5,3,1
"679",6,1,5,5,1
"680",6,1,5,6,2
"681",6,1,5,7,1
"682",6,1,6,0,1
"683",6,1,6,3,1
"684",6,1,6,6,3
"685",6,1,7,7,1
"686",6,2,0,0,7
"687",6,2,0,1,1
"688",6,2,0,2,1
"689",6,2,0,3,3
"690",6,2,0,4,2
"691",6,2,0,5,4
"692",6,2,0,6,2
"693",6,2,1,4,1
"694",6,2,5,4,1
"695",6,2,6,1,1
"696",6,2,6,3,1
"697",6,2,7,1,1
"698",6,2,7,5,1
"699",6,2,7,6,1
"700",6,3,0,0,4
"701",6,3,0,3,1
"702",6,3,0,4,1
"703",6,3,0,7,1
"704",6,3,2,4,1
"705",6,4,0,0,2
"706",6,4,0,1,1
"707",6,4,0,5,2
"708",6,4,0,6,1
"709",6,4,0,7,1
"710",6,4,2,0,1
"711",6,4,2,6,1
"712",6,4,2,7,1
"713",6,4,5,5,1
"714",6,5,0,0,1
"715",6,5,0,5,2
"716",6,5,0,7,2
"717",6,5,5,2,1
"718",6,5,5,4,1
"719",6,NA,0,0,1
"720",7,0,0,0,710
"721",7,0,0,1,37
"722",7,0,0,2,58
"723",7,0,0,3,62
"724",7,0,0,4,39
"725",7,0,0,5,40
"726",7,0,0,6,17
"727",7,0,0,7,187
"728",7,0,0,NA,1
"729",7,0,1,0,28
"730",7,0,1,1,5
"731",7,0,1,2,7
"732",7,0,1,3,10
"733",7,0,1,4,3
"734",7,0,1,5,5
"735",7,0,1,7,12
"736",7,0,2,0,13
"737",7,0,2,1,6
"738",7,0,2,2,14
"739",7,0,2,3,5
"740",7,0,2,4,3
"741",7,0,2,5,5
"742",7,0,2,7,12
"743",7,0,3,0,14
"744",7,0,3,1,7
"745",7,0,3,2,5
"746",7,0,3,3,6
"747",7,0,3,4,6
"748",7,0,3,5,1
"749",7,0,3,6,1
"750",7,0,3,7,11
"751",7,0,4,0,5
"752",7,0,4,3,3
"753",7,0,4,4,6
"754",7,0,4,5,4
"755",7,0,4,6,1
"756",7,0,4,7,9
"757",7,0,4,NA,1
"758",7,0,5,0,16
"759",7,0,5,1,1
"760",7,0,5,2,6
"761",7,0,5,3,2
"762",7,0,5,4,2
"763",7,0,5,5,9
"764",7,0,5,6,1
"765",7,0,5,7,13
"766",7,0,5,NA,1
"767",7,0,6,0,5
"768",7,0,6,4,1
"769",7,0,6,5,1
"770",7,0,6,6,1
"771",7,0,6,7,1
"772",7,0,7,0,9
"773",7,0,7,1,4
"774",7,0,7,2,3
"775",7,0,7,3,6
"776",7,0,7,4,1
"777",7,0,7,5,5
"778",7,0,7,7,34
"779",7,0,NA,2,1
"780",7,1,0,0,522
"781",7,1,0,1,30
"782",7,1,0,2,58
"783",7,1,0,3,46
"784",7,1,0,4,34
"785",7,1,0,5,47
"786",7,1,0,6,24
"787",7,1,0,7,214
"788",7,1,1,0,19
"789",7,1,1,1,11
"790",7,1,1,2,11
"791",7,1,1,3,4
"792",7,1,1,4,7
"793",7,1,1,5,2
"794",7,1,1,6,1
"795",7,1,1,7,18
"796",7,1,1,NA,1
"797",7,1,2,0,26
"798",7,1,2,1,4
"799",7,1,2,2,12
"800",7,1,2,3,8
"801",7,1,2,4,2
"802",7,1,2,5,4
"803",7,1,2,6,2
"804",7,1,2,7,17
"805",7,1,3,0,17
"806",7,1,3,1,3
"807",7,1,3,2,6
"808",7,1,3,3,7
"809",7,1,3,4,3
"810",7,1,3,5,7
"811",7,1,3,6,6
"812",7,1,3,7,15
"813",7,1,4,0,10
"814",7,1,4,1,1
"815",7,1,4,2,1
"816",7,1,4,3,6
"817",7,1,4,4,3
"818",7,1,4,5,3
"819",7,1,4,6,1
"820",7,1,4,7,19
"821",7,1,5,0,7
"822",7,1,5,1,4
"823",7,1,5,2,4
"824",7,1,5,3,1
"825",7,1,5,4,4
"826",7,1,5,5,8
"827",7,1,5,6,4
"828",7,1,5,7,15
"829",7,1,6,0,4
"830",7,1,6,1,1
"831",7,1,6,3,2
"832",7,1,6,4,1
"833",7,1,6,5,5
"834",7,1,6,6,5
"835",7,1,6,7,5
"836",7,1,7,0,16
"837",7,1,7,1,5
"838",7,1,7,2,1
"839",7,1,7,3,4
"840",7,1,7,4,4
"841",7,1,7,5,4
"842",7,1,7,6,3
"843",7,1,7,7,66
"844",7,1,NA,7,1
"845",7,2,0,0,158
"846",7,2,0,1,9
"847",7,2,0,2,13
"848",7,2,0,3,13
"849",7,2,0,4,10
"850",7,2,0,5,22
"851",7,2,0,6,9
"852",7,2,0,7,79
"853",7,2,1,0,9
"854",7,2,1,2,4
"855",7,2,1,3,4
"856",7,2,1,4,2
"857",7,2,1,5,3
